,,,,,,,Standart,,,,,,,,,,,,Expected,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Player,Nation,Pos,Squad,Age,Born,90s Played,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Avg Shot Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Cameron Archer,eng ENG,"FW,MF",Aston Villa,20,2001,0.3,0,1,0,0,3.33,0,0,,12.6,0,0,0,0,0,0.04,0,0,4,4,100,62,29,3,3,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Leon Bailey,jm JAM,"FW,MF",Aston Villa,23,1997,8.5,1,21,8,38.1,2.48,0.95,0.05,0.13,19.4,4,0,0,1.5,1.5,0.07,-0.5,-0.5,150,226,66.4,2354,518,76,95,80,47,66,71.2,15,36,41.7,2,0.8,1.1,1.2,7,6,9,1,24,17,11,6,8,3,6,13,46.2,7,10,1,9,1,18,2,0
Harvey Barnes,eng ENG,"FW,MF",Leicester City,23,1997,23.3,6,66,24,36.4,2.83,1.03,0.09,0.25,16.1,0,0,0,5.6,5.6,0.09,0.4,0.4,550,756,72.8,6899,1906,366,442,82.8,137,199,68.8,15,34,44.1,10,4.6,3.2,5.4,29,26,24,7,59,31,16,9,11,11,7,23,30.4,16,24,1,23,5,36,7,0
Saïd Benrahma,dz ALG,"FW,MF",West Ham,25,1995,24.1,8,63,20,31.7,2.62,0.83,0.13,0.4,19.6,3,0,0,4.8,4.8,0.08,3.2,3.2,632,841,75.1,8891,2023,367,432,85,191,250,76.4,32,68,47.1,6,3.7,3.3,2.3,32,37,29,10,73,28,17,16,9,3,15,38,39.5,23,17,1,16,9,37,8,0
Steven Bergwijn,nl NED,"FW,MF",Tottenham,23,1997,6.3,3,19,10,52.6,3.03,1.59,0.16,0.3,16.3,0,0,0,2.5,2.5,0.13,0.5,0.5,144,177,81.4,1756,392,98,113,86.7,30,38,78.9,4,7,57.1,1,0.9,1.2,0.1,8,9,6,0,17,3,2,2,1,0,1,10,10,9,3,0,3,1,4,8,0
Todd Cantwell,eng ENG,"FW,MF",Norwich City,23,1998,4.9,0,5,0,0,1.02,0,0,,28.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,130,157,82.8,1766,386,84,93,90.3,35,43,81.4,5,10,50,0,0.1,0.4,-0.1,2,13,2,0,10,15,13,8,6,1,6,17,35.3,11,2,0,2,3,18,2,0
Aaron Connolly,ie IRL,"FW,MF",Brighton,21,2000,1.7,0,2,0,0,1.15,0,0,,15.5,0,0,0,0.4,0.4,0.18,-0.4,-0.4,14,19,73.7,172,16,8,8,100,5,5,100,0,1,0,0,0.1,0.1,-0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0
Maxwel Cornet,ci CIV,"FW,MF",Burnley,24,1996,19.6,9,46,22,47.8,2.34,1.12,0.2,0.41,16.9,4,0,1,6.7,5.9,0.13,2.3,3.1,281,437,64.3,3679,860,168,222,75.7,68,99,68.7,15,48,31.3,1,1.7,1.7,-0.7,15,15,14,4,30,16,9,7,5,4,7,15,46.7,8,13,4,9,10,26,14,0
Cucho,co COL,"FW,MF",Watford,22,1999,12.7,5,34,10,29.4,2.67,0.78,0.15,0.5,19,5,0,0,2.5,2.5,0.07,2.5,2.5,239,394,60.7,3852,1368,126,172,73.3,68,106,64.2,31,66,47,2,1.9,1.1,0.1,20,21,15,6,39,13,5,5,5,3,5,27,18.5,22,13,1,12,5,18,9,0
Emmanuel Dennis,ng NGA,"FW,MF",Watford,23,1997,28.7,10,60,26,43.3,2.09,0.91,0.17,0.38,15.5,7,0,0,7.3,7.3,0.12,2.7,2.7,411,628,65.4,5461,1617,261,349,74.8,100,147,68,21,37,56.8,6,4.1,2.1,1.9,33,26,19,4,61,51,35,20,22,9,17,52,32.7,35,36,2,34,15,66,13,0
Lewis Dobbin,eng ENG,"FW,MF",Everton,18,2003,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,5,8,62.5,92,22,3,3,100,0,2,0,2,3,66.7,0,0,0,0,0,2,0,0,1,2,1,0,1,1,1,2,50,1,0,0,0,0,2,0,0
Kieran Dowell,eng ENG,"FW,MF",Norwich City,23,1997,10.1,1,8,2,25,0.79,0.2,0.13,0.5,20.8,3,0,0,1.1,1.1,0.13,-0.1,-0.1,223,334,66.8,3517,1068,123,157,78.3,69,89,77.5,19,53,35.8,1,1.5,1,-0.5,16,21,9,3,31,18,7,8,7,3,9,32,28.1,23,10,1,9,7,25,4,0
Pablo Fornals,es ESP,"FW,MF",West Ham,25,1996,31.1,6,43,11,25.6,1.38,0.35,0.14,0.55,18.7,0,0,0,4.6,4.6,0.11,1.4,1.4,1052,1417,74.2,17266,5582,529,613,86.3,363,484,75,111,205,54.1,3,6.3,4.5,-3.3,48,111,51,8,191,54,28,21,21,12,22,84,26.2,62,49,2,47,27,81,16,1
Marcus Forss,fi FIN,"FW,MF",Brentford,22,1999,2.3,0,5,0,0,2.15,0,0,,15.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,22,38,57.9,341,115,12,19,63.2,5,9,55.6,3,3,100,1,0.2,0,0.8,1,5,1,0,6,3,3,0,2,1,2,4,50,2,5,0,5,1,4,0,0
Ryan Fraser,sct SCO,"FW,MF",Newcastle Utd,27,1994,16.3,2,24,7,29.2,1.47,0.43,0.08,0.29,18,0,0,0,2.7,2.7,0.11,-0.7,-0.7,334,482,69.3,5352,1620,197,234,84.2,86,128,67.2,40,84,47.6,3,2.1,2.3,0.9,25,18,24,15,34,10,3,5,3,2,5,13,38.5,8,11,1,10,11,21,11,0
Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,17,2004,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,3,3,100,22,1,2,2,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Joe Gelhardt,eng ENG,"FW,MF",Leeds United,19,2002,8.3,2,23,9,39.1,2.77,1.09,0.09,0.22,15.4,0,0,0,3,3,0.13,-1,-1,106,163,65,1166,344,58,81,71.6,28,46,60.9,2,5,40,2,1.6,1.4,0.4,9,5,10,2,15,4,3,1,0,3,2,10,20,8,9,0,9,0,4,3,0
Anwar El Ghazi,nl NED,"FW,MF",Aston Villa,26,1995,4.3,1,7,2,28.6,1.63,0.47,0,0,22.3,0,1,1,1.1,0.3,0.04,-0.1,-0.3,84,119,70.6,1091,314,60,70,85.7,17,30,56.7,3,5,60,1,0.4,0.4,0.6,5,0,4,3,5,4,4,2,2,0,2,7,28.6,5,6,0,6,1,5,2,0
Anwar El Ghazi,nl NED,"FW,MF",Everton,26,1995,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,7,9,77.8,80,18,5,5,100,1,2,50,0,0,,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,100,0,3,0,3,0,1,0,0
Bryan Gil,es ESP,"FW,MF",Tottenham,20,2001,1,0,1,1,100,0.96,0.96,0,0,15.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,50,64,78.1,660,188,32,36,88.9,11,15,73.3,3,4,75,0,0.1,0.2,-0.1,2,0,4,2,7,3,0,1,0,2,1,2,50,1,2,0,2,0,3,0,0
Mason Greenwood,eng ENG,"FW,MF",Manchester Utd,19,2001,14.1,5,48,18,37.5,3.4,1.27,0.1,0.28,19.1,0,0,0,4.3,4.3,0.09,0.7,0.7,394,501,78.6,6461,1375,204,236,86.4,137,162,84.6,37,64,57.8,1,1.8,1.3,-0.8,17,31,13,3,39,15,9,9,1,5,3,9,33.3,6,5,0,5,1,16,6,0
Jack Harrison,eng ENG,"FW,MF",Leeds United,24,1996,29.3,8,43,17,39.5,1.47,0.58,0.19,0.47,17.2,0,0,0,4.4,4.4,0.1,3.6,3.6,656,1045,62.8,9472,3280,407,510,79.8,187,300,62.3,36,117,30.8,1,3.2,2.5,-2.2,42,49,35,8,89,57,37,22,22,13,31,76,40.8,45,35,1,34,21,78,19,0
Kai Havertz,de GER,"FW,MF",Chelsea,22,1999,20.1,8,56,23,41.1,2.79,1.14,0.14,0.35,13,0,0,0,8.7,8.7,0.16,-0.7,-0.7,537,669,80.3,6322,1194,360,408,88.2,111,143,77.6,12,16,75,3,2.2,1.7,0.8,21,34,19,1,62,17,8,5,7,5,4,14,28.6,10,28,1,27,4,21,32,1
Hwang Hee-chan,kr KOR,"FW,MF",Wolves,25,1996,20.2,5,27,12,44.4,1.34,0.59,0.19,0.42,15.4,0,0,0,4.4,4.4,0.16,0.6,0.6,513,639,80.3,7634,1456,291,341,85.3,160,187,85.6,37,51,72.5,1,1.3,1.3,-0.3,16,31,14,0,57,27,13,9,16,2,14,44,31.8,30,10,0,10,13,40,7,1
Adam Idah,ie IRL,"FW,MF",Norwich City,20,2001,6.9,1,14,4,28.6,2.02,0.58,0.07,0.25,13.9,0,0,0,2.3,2.3,0.17,-1.3,-1.3,95,150,63.3,1466,288,53,68,77.9,32,46,69.6,5,10,50,1,0.6,0.5,0.4,5,8,5,2,10,9,6,2,5,2,2,3,66.7,1,4,2,2,3,12,7,0
Daniel James,wls WAL,"FW,MF",Leeds United,23,1997,26.3,4,50,15,30,1.9,0.57,0.08,0.27,15.3,0,0,0,6.1,6.1,0.12,-2.1,-2.1,326,508,64.2,4327,1156,205,256,80.1,84,151,55.6,15,34,44.1,4,2.9,1.7,1.1,24,26,18,2,57,24,14,8,8,8,10,23,43.5,13,18,1,17,8,32,12,0
João Pedro,br BRA,"FW,MF",Watford,19,2001,18.3,3,47,16,34,2.57,0.88,0.06,0.19,16.3,1,0,0,3.6,3.6,0.08,-0.6,-0.6,390,581,67.1,6100,1580,210,299,70.2,122,163,74.8,38,57,66.7,1,2.8,1.4,-1.8,19,43,20,3,77,20,14,7,8,5,6,23,26.1,17,23,3,20,15,35,17,0
Jesse Lingard,eng ENG,"FW,MF",Manchester Utd,28,1992,4.1,2,8,6,75,1.96,1.47,0.25,0.33,18.6,0,0,0,0.6,0.6,0.08,1.4,1.4,128,153,83.7,1533,382,75,85,88.2,33,41,80.5,0,4,0,0,0.3,0.2,-0.3,8,11,2,0,13,9,7,4,3,2,2,6,33.3,4,4,0,4,0,9,1,0
Ademola Lookman,ng NGA,"FW,MF",Leicester City,23,1997,16.1,6,26,12,46.2,1.61,0.74,0.23,0.5,15,0,0,0,4.5,4.5,0.17,1.5,1.5,405,536,75.6,5124,1306,260,313,83.1,113,136,83.1,8,21,38.1,0,1.9,1.8,-1.9,23,19,20,1,54,32,14,10,13,9,10,28,35.7,18,19,1,18,10,42,4,0
Gabriel Martinelli,br BRA,"FW,MF",Arsenal,20,2001,20.7,6,51,15,29.4,2.47,0.73,0.1,0.33,14.7,0,1,1,7.3,6.6,0.13,-1.3,-1.6,439,611,71.8,6765,1235,252,303,83.2,150,204,73.5,29,62,46.8,6,4.3,3.4,1.7,34,11,16,5,37,27,19,7,14,6,10,29,34.5,19,26,1,25,20,47,15,0
Takumi Minamino,jp JPN,"FW,MF",Liverpool,26,1995,2.1,3,7,4,57.1,3.39,1.94,0.43,0.75,15.2,0,0,0,1.6,1.6,0.23,1.4,1.4,58,69,84.1,648,146,42,45,93.3,10,15,66.7,2,2,100,0,0.5,0.6,-0.5,2,6,3,0,5,3,2,1,1,1,2,8,25,6,2,0,2,1,4,2,0
Lucas Moura,br BRA,"FW,MF",Tottenham,28,1992,19.7,2,37,11,29.7,1.88,0.56,0.05,0.18,16.7,0,0,0,2.7,2.7,0.07,-0.7,-0.7,567,774,73.3,7667,2267,340,413,82.3,180,243,74.1,17,38,44.7,6,5,2.8,1,34,59,27,4,99,25,10,7,14,4,8,35,22.9,27,19,0,19,18,43,19,0
Pedro Neto,pt POR,"FW,MF",Wolves,21,2000,5.2,1,17,4,23.5,3.28,0.77,0.06,0.25,19.7,1,0,0,1.5,1.5,0.09,-0.5,-0.5,181,237,76.4,2805,542,97,106,91.5,61,82,74.4,13,29,44.8,1,1,0.9,0,13,4,4,2,10,4,4,2,0,2,0,9,0,9,0,0,0,6,10,1,0
Michael Olise,fr FRA,"FW,MF",Crystal Palace,19,2001,12.7,2,19,10,52.6,1.5,0.79,0.11,0.2,17,2,0,0,1.7,1.7,0.09,0.3,0.3,476,662,71.9,7870,2233,254,290,87.6,143,207,69.1,57,108,52.8,5,3.9,3.6,1.1,24,39,26,9,63,22,18,8,11,3,7,24,29.2,17,17,0,17,6,28,6,0
Cole Palmer,eng ENG,"FW,MF",Manchester City,19,2002,1.4,0,4,1,25,2.93,0.73,0,0,21.6,0,0,0,0.4,0.4,0.11,-0.4,-0.4,46,54,85.2,561,109,32,33,97,9,12,75,3,5,60,0,0.2,0.3,-0.2,2,2,3,0,3,2,1,1,1,0,0,2,0,2,3,0,3,1,3,0,0
Nicolas Pépé,ci CIV,"FW,MF",Arsenal,26,1995,7.7,1,23,7,30.4,2.97,0.91,0.04,0.14,15.1,3,0,0,2.6,2.6,0.11,-1.6,-1.6,283,365,77.5,4064,843,171,196,87.2,85,109,78,15,32,46.9,2,1.7,1,0.3,12,12,9,3,17,8,5,3,5,0,3,9,33.3,6,9,1,8,8,16,2,0
Daniel Podence,pt POR,"FW,MF",Wolves,25,1995,16.5,2,35,15,42.9,2.12,0.91,0.06,0.13,22,1,0,0,2,2,0.06,0,0,449,637,70.5,6967,2148,248,302,82.1,121,184,65.8,49,78,62.8,3,3.9,3.2,-0.9,36,32,36,10,75,18,11,10,5,3,4,17,23.5,13,8,1,7,10,28,1,0
Przemysław Płacheta,pl POL,"FW,MF",Norwich City,23,1998,5.6,0,8,7,87.5,1.43,1.25,0,0,16.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4,109,163,66.9,1640,469,65,77,84.4,30,44,68.2,8,19,42.1,0,0.8,0.6,-0.8,4,6,5,2,10,4,3,3,1,0,2,7,28.6,5,3,1,2,2,6,5,1
Jesurun Rak Sakyi,eng ENG,"FW,MF",Crystal Palace,18,2002,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,22,26,84.6,246,32,17,17,100,2,2,100,1,1,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,1,1,0,0
Raphinha,br BRA,"FW,MF",Leeds United,24,1996,32.4,11,84,21,25,2.59,0.65,0.08,0.33,21.4,10,4,4,10.2,7,0.08,0.8,0,824,1301,63.3,13788,5181,399,497,80.3,275,420,65.5,99,259,38.2,3,7.5,6.2,-4.5,65,91,49,11,134,51,29,25,14,12,22,71,31,49,43,0,43,29,80,28,1
Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,23,1997,13.7,4,22,12,54.5,1.6,0.87,0.18,0.33,17.7,1,0,0,2.9,2.9,0.13,1.1,1.1,304,424,71.7,3973,706,199,252,79,82,110,74.5,7,20,35,2,2.1,2,-0.1,9,18,10,1,28,6,5,1,4,1,2,13,15.4,11,10,1,9,5,11,5,1
Milot Rashica,xk KVX,"FW,MF",Norwich City,25,1996,24.8,1,44,17,38.6,1.78,0.69,0.02,0.06,22.3,7,0,0,2.6,2.6,0.06,-1.6,-1.6,363,602,60.3,6213,1883,190,240,79.2,117,207,56.5,45,105,42.9,2,2.1,2.4,-0.1,36,33,20,8,46,31,19,12,12,7,11,30,36.7,19,22,3,19,15,46,23,0
Jonathan Rowe,eng ENG,"FW,MF",Norwich City,18,2003,2.5,0,3,2,66.7,1.21,0.81,0,0,16.1,0,0,0,0.3,0.3,0.08,-0.3,-0.3,48,72,66.7,534,142,34,42,81,8,10,80,1,7,14.3,1,0.5,0.2,0.5,5,4,2,0,3,3,2,2,1,0,2,3,66.7,1,7,0,7,3,6,1,0
Allan Saint-Maximin,fr FRA,"FW,MF",Newcastle Utd,24,1997,31.2,5,64,26,40.6,2.05,0.83,0.08,0.19,19.7,0,0,0,5.2,5.2,0.08,-0.2,-0.2,529,747,70.8,7953,1853,299,359,83.3,165,225,73.3,38,75,50.7,5,4.3,3.8,0.7,50,51,32,8,87,13,8,6,4,3,3,17,17.6,14,13,2,11,11,24,3,0
Bukayo Saka,eng ENG,"FW,MF",Arsenal,19,2001,33.1,11,95,29,30.5,2.87,0.88,0.09,0.31,17.1,0,2,2,10.3,8.7,0.09,0.7,0.3,893,1196,74.7,13040,2831,527,612,86.1,289,374,77.3,46,106,43.4,7,7.5,6.9,-0.5,68,40,31,6,101,40,21,12,17,11,13,39,33.3,26,28,2,26,22,62,23,0
Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,21,2000,21.1,3,26,9,34.6,1.23,0.43,0.12,0.33,14.1,0,0,0,3.6,3.6,0.14,-0.6,-0.6,805,984,81.8,10392,2336,525,602,87.2,218,271,80.4,21,30,70,3,4.1,3.6,-1.1,41,31,39,7,88,14,8,9,4,1,8,22,36.4,14,19,0,19,15,29,5,3
Josh Sargent,us USA,"FW,MF",Norwich City,21,2000,17.5,2,24,2,8.3,1.37,0.11,0.08,1,17.1,0,0,0,2.5,2.5,0.1,-0.5,-0.5,292,410,71.2,3577,820,208,258,80.6,63,96,65.6,8,16,50,1,0.9,1.2,0.1,11,8,5,0,12,26,14,15,7,4,14,39,35.9,25,29,2,27,11,37,18,2
Jeremy Sarmiento,ec ECU,"FW,MF",Brighton,19,2002,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,14,20,70,156,37,8,12,66.7,5,5,100,0,0,,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,2,0,2,2,0,2,0,1,0,0
Ismaila Sarr,sn SEN,"FW,MF",Watford,23,1998,20.7,5,39,15,38.5,1.89,0.73,0.13,0.33,18.3,0,0,1,4.8,4,0.1,0.2,1,332,478,69.5,4981,1253,182,225,80.9,105,144,72.9,21,41,51.2,2,2.9,2.3,-0.9,21,21,22,4,52,12,7,4,3,5,5,19,26.3,14,10,1,9,9,21,10,0
Adama Traoré,es ESP,"FW,MF",Wolves,25,1996,11.9,1,23,5,21.7,1.94,0.42,0.04,0.2,19.7,0,0,0,3,3,0.13,-2,-2,242,339,71.4,3655,663,126,158,79.7,79,109,72.5,21,31,67.7,0,1.4,1.4,-1.4,18,15,12,6,29,8,3,6,0,2,3,7,42.9,4,4,1,3,2,10,1,0
Francisco Trincão,pt POR,"FW,MF",Wolves,21,1999,14.8,2,32,13,40.6,2.16,0.88,0.06,0.15,18.6,1,0,0,3.7,3.7,0.12,-1.7,-1.7,356,463,76.9,5329,1095,201,230,87.4,104,127,81.9,30,55,54.5,1,1.6,1.6,-0.6,14,29,11,3,40,28,15,9,13,6,3,19,15.8,16,17,1,16,12,40,1,1
Leandro Trossard,be BEL,"FW,MF",Brighton,26,1994,31.2,8,73,26,35.6,2.34,0.83,0.1,0.27,18.7,5,1,1,6.7,5.9,0.08,1.3,1.1,898,1188,75.6,14462,3283,479,569,84.2,282,357,79,90,130,69.2,3,4.8,4.9,-1.8,47,71,53,3,154,34,20,12,9,13,4,31,12.9,27,33,4,29,15,49,10,0
Christos Tzolis,gr GRE,"FW,MF",Norwich City,19,2002,3.7,0,6,2,33.3,1.61,0.54,0,0,18.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,75,104,72.1,1152,287,41,51,80.4,26,31,83.9,5,15,33.3,0,0.7,0.6,-0.7,8,1,3,0,13,5,3,3,1,1,2,9,22.2,7,3,0,3,1,6,1,0
Nikola Vlašić,hr CRO,"FW,MF",West Ham,23,1997,6.2,1,7,3,42.9,1.13,0.48,0.14,0.33,18.5,0,0,0,1.3,1.3,0.19,-0.3,-0.3,165,218,75.7,2200,370,106,122,86.9,44,57,77.2,7,16,43.8,0,0.6,0.6,-0.6,9,6,3,1,14,11,7,4,6,1,5,20,25,15,4,0,4,2,13,1,0
Danny Welbeck,eng ENG,"FW,MF",Brighton,30,1990,16.4,6,43,21,48.8,2.62,1.28,0.14,0.29,12.8,0,0,0,6.6,6.6,0.16,-0.6,-0.6,213,277,76.9,2412,411,144,173,83.2,43,56,76.8,4,6,66.7,2,1.2,0.7,0.8,18,10,9,0,23,14,7,2,8,4,3,10,30,7,18,2,16,5,19,18,0
Timo Werner,de GER,"FW,MF",Chelsea,25,1996,14.3,4,45,16,35.6,3.16,1.12,0.09,0.25,13.3,0,0,0,6.8,6.8,0.15,-2.8,-2.8,297,402,73.9,3577,478,197,230,85.7,69,92,75,8,16,50,1,0.3,0.8,0.7,8,9,9,1,18,8,4,3,3,2,2,20,10,18,9,0,9,2,10,4,0
Andriy Yarmolenko,ua UKR,"FW,MF",West Ham,31,1989,3.5,1,11,5,45.5,3.13,1.42,0.09,0.2,15.2,0,0,0,0.8,0.8,0.07,0.2,0.2,80,109,73.4,1285,237,40,52,76.9,31,36,86.1,6,9,66.7,0,0.3,0.3,-0.3,4,3,4,1,12,4,2,2,2,0,2,8,25,6,4,2,2,0,4,2,0
Dele Alli,eng ENG,"MF,FW",Everton,25,1996,3.8,0,3,0,0,0.8,0,0,,19.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,114,157,72.6,1696,434,63,81,77.8,34,45,75.6,9,12,75,0,0.4,0.4,-0.4,7,10,3,1,13,7,2,3,4,0,0,4,0,4,7,2,5,6,13,10,0
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,27,1994,19.1,1,32,7,21.9,1.68,0.37,0.03,0.14,19.6,0,0,0,1.7,1.7,0.05,-0.7,-0.7,402,511,78.7,5720,1254,229,264,86.7,118,149,79.2,23,38,60.5,0,0.9,0.6,-0.9,16,26,5,0,46,47,29,23,17,7,11,44,25,33,14,1,13,20,67,13,0
Ross Barkley,eng ENG,"MF,FW",Chelsea,27,1993,2,1,9,4,44.4,4.53,2.01,0.11,0.25,22.3,0,0,0,1,1,0.11,0,0,106,128,82.8,1633,369,59,66,89.4,32,39,82.1,9,11,81.8,0,0.5,0.7,-0.5,8,6,7,0,14,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0
Emi Buendía,ar ARG,"MF,FW",Aston Villa,24,1996,21.1,4,44,13,29.5,2.09,0.62,0.09,0.31,17.9,0,0,0,3.4,3.4,0.08,0.6,0.6,711,902,78.8,10017,2688,418,482,86.7,199,248,80.2,42,79,53.2,6,5.8,4.2,0.2,48,71,43,3,117,38,18,16,13,9,21,51,41.2,30,21,3,18,9,47,11,0
Carney Chukwuemeka,eng ENG,"MF,FW",Aston Villa,17,2003,3.3,0,4,1,25,1.2,0.3,0,0,17.1,0,0,0,0.6,0.6,0.16,-0.6,-0.6,98,121,81,1261,218,66,74,89.2,26,30,86.7,3,3,100,1,1,0.6,0,2,5,0,0,7,7,1,2,5,0,3,5,60,2,3,0,3,1,8,2,1
